CATEGORY_NAME,PRODUCT_NAME,LIST_PRICE,DESCRIPTION,LAST_UPDATE
CPU,Patrocinado AMD Ryzen 5 5600 Ir à loja,1068.99,Patrocinado AMD Ryzen 5 5600 Ir à loja,2026-04-16 19:49
CPU,AMD Ryzen 5 5500,681.16,AMD Ryzen 5 5500,2026-04-16 19:49
CPU,AMD Ryzen 7 5700X,1294.11,AMD Ryzen 7 5700X,2026-04-16 19:49
CPU,AMD Ryzen 5 5600GT,1035.2,AMD Ryzen 5 5600GT,2026-04-16 19:49
CPU,AMD Ryzen 5 5600,1068.99,AMD Ryzen 5 5600,2026-04-16 19:49
CPU,AMD Ryzen 7 7800X3D,2352.93,AMD Ryzen 7 7800X3D,2026-04-16 19:49
CPU,Intel Core i5-12400F,729.4,Intel Core i5-12400F,2026-04-16 19:49
CPU,AMD Ryzen 5 7600X,1176.46,AMD Ryzen 5 7600X,2026-04-16 19:49
CPU,AMD Ryzen 7 9800X3D,2823.52,AMD Ryzen 7 9800X3D,2026-04-16 19:49
CPU,AMD Ryzen 7 5700G,1152.93,AMD Ryzen 7 5700G,2026-04-16 19:49
CPU,AMD Ryzen 9 9950X3D,4952.93,AMD Ryzen 9 9950X3D,2026-04-16 19:49
CPU,AMD Ryzen 7 5700,1105.87,AMD Ryzen 7 5700,2026-04-16 19:49
CPU,AMD Ryzen 7 5800X,2017.49,AMD Ryzen 7 5800X,2026-04-16 19:49
CPU,AMD Ryzen 5 8500G,835.28,AMD Ryzen 5 8500G,2026-04-16 19:49
CPU,AMD Ryzen 3 3200G,470.58,AMD Ryzen 3 3200G,2026-04-16 19:49
CPU,AMD Ryzen 5 8600G,1058.8,AMD Ryzen 5 8600G,2026-04-16 19:49
CPU,AMD Ryzen 5 9600X,1156.9,AMD Ryzen 5 9600X,2026-04-16 19:49
CPU,AMD Ryzen 5 7600,1116.4,AMD Ryzen 5 7600,2026-04-16 19:49
CPU,AMD Ryzen 5 5600G,1099.0,AMD Ryzen 5 5600G,2026-04-16 19:49
CPU,AMD Ryzen 5 4500,705.8,AMD Ryzen 5 4500,2026-04-16 19:49
CPU,AMD Ryzen 7 7700X,1941.16,AMD Ryzen 7 7700X,2026-04-16 19:49
CPU,Intel Core i5-14600KF,1592.91,Intel Core i5-14600KF,2026-04-16 19:49
CPU,AMD Ryzen 7 9700X,1999.8,AMD Ryzen 7 9700X,2026-04-16 19:49
CPU,AMD Ryzen 3 5300G,694.1,AMD Ryzen 3 5300G,2026-04-16 19:49
CPU,AMD Threadripper 2970WX,9675.0,AMD Threadripper 2970WX,2026-04-16 19:49
CPU,AMD Ryzen 7 8700G,1764.59,AMD Ryzen 7 8700G,2026-04-16 19:49
CPU,Intel Core i5-14400F,1176.46,Intel Core i5-14400F,2026-04-16 19:49
CPU,AMD Ryzen 5 4600G,1299.0,AMD Ryzen 5 4600G,2026-04-16 19:49
CPU,AMD Ryzen 3 4100,588.22,AMD Ryzen 3 4100,2026-04-16 19:49
CPU,AMD Ryzen 7 5800XT,1764.6,AMD Ryzen 7 5800XT,2026-04-16 19:49
CPU,Intel Core i5-10400F,741.16,Intel Core i5-10400F,2026-04-16 19:49
CPU,Intel Core i7-14700K,2470.58,Intel Core i7-14700K,2026-04-16 19:49
CPU,Intel Core i5 12600KF,1176.46,Intel Core i5 12600KF,2026-04-16 19:49
CPU,AMD Ryzen 5 5600X,1295.24,AMD Ryzen 5 5600X,2026-04-16 19:49
CPU,AMD Ryzen 9 7900X,2328.2,AMD Ryzen 9 7900X,2026-04-16 19:49
CPU,AMD Ryzen 5 3600,647.1,AMD Ryzen 5 3600,2026-04-16 19:49
CPU,AMD Ryzen 5 5600XT,1529.4,AMD Ryzen 5 5600XT,2026-04-16 19:49
CPU,Intel Core i5-3470,109.0,Intel Core i5-3470,2026-04-16 19:49
CPU,AMD Ryzen 9 5900XT,2599.99,AMD Ryzen 9 5900XT,2026-04-16 19:49
CPU,Intel Core i9-14900K,3410.5,Intel Core i9-14900K,2026-04-16 19:49
CPU,AMD Ryzen 5 3400G,730.0,AMD Ryzen 5 3400G,2026-04-16 19:49
CPU,Intel Core Ultra 7 265KF,2094.1,Intel Core Ultra 7 265KF,2026-04-16 19:49
CPU,Intel Core i3-12100F,607.0,Intel Core i3-12100F,2026-04-16 19:49
CPU,Intel Core Ultra 9 285K,3645.8,Intel Core Ultra 9 285K,2026-04-16 19:49
CPU,AMD Ryzen 7 7700,1941.16,AMD Ryzen 7 7700,2026-04-16 19:49
